Clue,Expected Answer,Wikipedia Page Title,Title Match,Content Match,Searched Wikipedia Titles
Lipton competitor,nestea,No Title Match,False,False,"History of the America's Cup, Whirlwind (yacht), Ambev, Feldschlösschen, Unilever, Changpeng Zhao, United States, Yorkshire Tea, Twinings, David Mundell (fighter), Conan O'Brien, Ben Ainslie, Positioning (marketing), Marlee Matlin, Robin Williams, Chad Doreck, Lisa Hartman Black, Good Humor, Rosie O'Donnell, Serena Williams, Slice (drink), Steve Ballmer, Panama Papers, Sergio Cortés, Vim (cleaning product), Teem, Pepsi Spire, Acquisition of Twitter by Elon Musk, Arthur Godfrey, Love Is a Many Splendored Thing (TV series), Monica Seles, Reliance (yacht), Tether (cryptocurrency), The Karate Kid, PepsiCo, Venus Williams, CVC Capital Partners, Cunard Line, Sam Bankman-Fried, Steffi Graf, Peter Jennings, Vision statement, Frito-Lay Inc., Cola wars, Starlight Media"
Keypad triplet,abc,No Title Match,False,False,"Cathy Weseluck, Multiplication table, List of Madagascar (franchise) characters, Molecular logic gate"
Critical remark,shot,Sextus Pompeius Festus,False,True,"The Second World War (book series), Battle of the Bulge, Battle of Waterloo, Prometheus, Surrender of Japan, Erwin Rommel, Characters of Shakespear's Plays, Pierre Teilhard de Chardin, J. Robert Oppenheimer, Royal Commission on Animal Magnetism, Media portrayal of the Russo-Ukrainian War, Sir Henry Wilson, 1st Baronet, H. H. Asquith, Ion Antonescu, Capitalism as Religion, Garry Kasparov, 2019 United Kingdom general election, Battle of Stalingrad, Elvis Presley, Special Relationship, Political positions of Noam Chomsky, Rudyard Kipling, Tartan, Mahathir Mohamad, John Adams, International reactions to the Gaza war, Euro area crisis, Yom Kippur War, Pearl Harbor advance-knowledge conspiracy theory, Gulf War, Gys Hofmeyr, The Undertaker, South African labour law, Consequences of the attack on Pearl Harbor, Archibald Wavell, 1st Earl Wavell, German radio intelligence operations during World War II, Zhuge Liang, Wendell Willkie, Gaza War (2008–2009), Nobel Prize controversies, Byzantine navy, Aleksandr Milyukov, Anglo-Saxons, Cryptanalysis of the Enigma, Trần Ngọc Châu, United Russia, 2017 United Kingdom general election, Rationale for the Iraq War, French Resistance, Erich Maria Remarque, Sophie Scholl, Ibrahim Babangida, Jenny Humphrey, Stephen A. Smith, Dysphemism, Compliment sandwich, Anne Frank, Gender-critical feminism, Felix Baumgartner, Etta James, William Houstoun (lawyer), Van Morrison, The Spanish Civil War (book), Sherali Joʻrayev, Mathematical model, Critical reading, Historical materialism, Ali Erbaş, Émile Durkheim, Catherine Zeta-Jones, Jo Wilson (Grey's Anatomy), The Diary of a Young Girl, Folk psychology, Love in Simla, Riemann hypothesis, Logicomix, Knowledge society, Eurocentrism, Materialism and Empirio-criticism, Margaret Roper, Critical rationalism, The Talk (talk show), İbrahim Kalın, The National Question and Autonomy, Alison Roman, Capital in the Twenty-First Century, National personal autonomy, Capital punishment in Germany, The Origin of the Work of Art, Critical juncture theory, 2008 attacks on Uttar Pradeshi and Bihari migrants in Maharashtra, Rainer Zitelmann, Wehrkraftzersetzung, 2022 Kanpur violence, Sextus Pompeius Festus, Spy Kids: Mission Critical, Judith Butler"
Regardless of the outcome,winorlose,No Title Match,False,False,"Deal or No Deal Island, Arbitrage betting, List of Formula One World Drivers' Champions, Invincible Presents: Atom Eve, 2024–25 DFB-Pokal, Equality of outcome, Rugby union bonus points system, Fielder's choice, List of Formula One World Constructors' Champions, Ivan Raiklin, 2000 United States presidential election in New Hampshire, List of oracular statements from Delphi, Checkers speech, Good faith, League of Nations, Second inauguration of Donald Trump, Dutch book theorems, Operation Barbarossa, Uncaught third strike, The Love of Hypnosis, 2025 UFL season, Betting exchange, Confederate States Congress, 2028 Summer Olympics, LGBTQ rights in Syria, 2020s European re-armament, The Outer Worlds, Denmark national under-17 football team, Unintended pregnancy, Alice in Borderland (TV series), 2024–25 DFB-Pokal Frauen, List of Minnesota Wild seasons, Resting the starters, List of Quebec Nordiques seasons, 2024 Irish constitutional referendums, Bookmaker, German–Soviet Axis talks, McDonald's Monopoly, Future of Earth, 51st state, Paradox, List of Columbus Blue Jackets seasons, Gentrification, List of San Jose Sharks seasons, Friendly fraud, Decision quality, Gambling, List of The Price Is Right pricing games, Kevin Roberts (political strategist), Brazil at the 2006 FIFA World Cup"
Card in a royal flush,ace,Open-face Chinese poker,True,True,"Royal Flush Gang, List of poker hands, Royal Flush (game), Flush (cards), Royal flush, Poker probability, Wild Card (2015 film), Five-card draw, Video poker, Three Card Poker, Chicago (poker card game), Brag (card game), Rules of cribbage, Bug (poker), Non-standard poker hand, Casino hold 'em, Cribbage statistics, Nut hand, Texas hold 'em, King of Diamonds, Pai gow poker, Poker dice, Carioca (card game), Six-plus hold 'em, Jack of Spades, Glossary of poker terms, Community card poker, King of Spades, Cribbage solitaire, Gottlieb, Guts (card game), Omaha hold 'em, Caribbean stud poker, Patience (game), Noddy (card game), Open-face Chinese poker, Jack of Hearts, List of poker playing card nicknames, Card game, Amos Fortune (comics), Maresa (company), Playing card, List of patience games, Let It Ride (card game), Games of the Discworld, Ultimate Texas Hold'em, Daifugō, Poker squares, Blackjack"
Purposes,aims,Teams and organizations of the Marvel Cinematic Universe,False,True,"South African criminal law, Common law, Contract, Bluetooth, Deepfake, Zionism, Free will, Varieties of criticism, Tartan, Palestine, West Bank, Idries Shah, Criminal procedure in South Africa, Nullification (U.S. Constitution), United States Army Air Corps, Civil Rights Act, Slavery in the United States, Supriyo v. Union of India, Political status of Taiwan, LGBTQ rights in the United States, Andrew Jackson and the slave trade in the United States, United States labor law, Qatari folklore, Cross Purposes, English for specific purposes, Eggcorn, Art, Language for specific purposes, Special-purpose entity, For all practical purposes, Free content, Time zone, Meaning of life, List of ethnic slurs, IEC 60320, Dual-purpose, Cross Purposes Live, Death mask, For Screening Purposes Only, Operating system, Domestic Purposes Benefit, Teleology, Ceremonial counties of England, Temperature, Teams and organizations of the Marvel Cinematic Universe, The Purpose Driven Life, Access to Cannabis for Medical Purposes Regulations, Overview of gun laws by nation, List of sovereign states, Academic English, Urban areas in Sweden"
One runs from Me. to Fla.,usroute,No Title Match,False,False,"Joe DiMaggio, Naples, Florida, 2003 National League Championship Series, LeBron James, Cologix, Robert F. Kennedy Jr., Living in a Box, Jacksonville, Florida, 1997 World Series, Rock of Ages (2012 film), Alisha (singer), Joe Bonamassa discography, Tulsi Gabbard, Phil Knight, Charlie Crist, 2026 United States Senate elections, George Peppard, Dusty Baker, List of One on One episodes, Joe Torre, Brodie Lee, Vinícius Júnior, Josh Gottheimer, Through the Eyes, Gary Matthews Jr., Louis Gossett Jr., John Glenn, Family and Medical Leave Act of 1993, Baltimore County, Maryland, Citi Field, Parkland high school shooting, Timeline for the day of the September 11 attacks, Gainesville, Florida, St. Petersburg, Florida, List of attacks related to secondary schools, David Jolly, List of file formats, Ronaldinho, Adobe Flash, Nathan Bedford Forrest, 2023–24 Florida Panthers season, Battle of Anzio, Mesut Özil, Hydroponics, Brian Mast, Singlish, Jon Moxley, List of rampage killers in the United States, The Twilight Zone Tower of Terror"
Seminoles' sch.,fsu,National High Magnetic Field Laboratory,False,True,"Sovereign immunity in the United States, St. Cloud, Florida, List of films: S, County Wicklow, Park Hill, Oklahoma, Carolinian language, Summer Creek High School, Soviet submarine Shch-213, 1830s, List of jurisdictions subject to the special provisions of the Voting Rights Act of 1965, National High Magnetic Field Laboratory"
"""You betcha!""",yes,The Law of Non-Contradiction,False,True,"Sarah Palin: You Betcha!, Son of a Gun (I Betcha Think This Song Is About You), Lay's, Bunheads, Primal Fear (film), Fargo (1996 film), Bitch (slang), Cassian Elwes, The English Patient (film), Game Change (film), Tina Fey, Uff da, Errol Morris, History of Saturday Night Live, The People vs. Larry Flynt, Russell Harvard, Who's Nailin' Paylin?, Law of noncontradiction, Into the Abyss (film), Lee ""Scratch"" Perry, Shine (film), Rocket Raccoon, Nick Broomfield, Kingdom Hearts: Chain of Memories, Broadchurch series 2, Bunraku (film), The Stylistics, Trevor Devall, Ole and Lena, Satire, Not Over Yet (Grace song), Only Four You, Jamie Muhoberac, On Down the Road, Resurrection (East 17 album), The Law of Non-Contradiction, Public image of Sarah Palin, Chinatown, Los Angeles, Incoming (1998 video game), Bitch (magazine)"
Northern ___ (curiously named apple variety),spy,Canadian cuisine,False,True,"See (TV series), Serpentine subgroup, Offal, Nicandra physalodes, Halloween, Josh Peck, Pie, Sagardotegi, Appalachian Mountains, Gal Gadot, Kiwifruit, Revolver (Beatles album), Gemini (chatbot), List of Disney Channel original films, Midnight Cowboy, Cherry, Wikipedia, Sun conure, Kurt Cobain, List of sandwiches, Yellow Submarine (film), Mariam-uz-Zamani, Lemonade, Timeline of the name Palestine, Grand Central Terminal, Monofloral honey, Macaron, Fig, History of the nude in art, DreamWorks Animation, Wallace & Gromit, Dietary biology of the brown bear, Ēostre, United States, Morgan le Fay, Canadian cuisine, Sambucus canadensis, Sweet potato, Rakia, Mastodon, Ozy Media, Calamity Jane, Nosferatu, Solo: A Star Wars Story, Hobbit, Asian giant hornet, Moonshine"
Have,possess,Animal,False,True,"Preterm birth, In vitro fertilisation, Evil (TV series), List of common misconceptions, List of The Outer Limits (1995 TV series) episodes, Human sexuality, Howard Wolowitz, Lemur, List of characters in mythology novels by Rick Riordan, Karl Marx, List of Red vs. Blue episodes, Pentecostalism, History of Earth, Henry John Temple, 3rd Viscount Palmerston, Characters of the Metal Gear series, The Culture, Cocaine, Serial killer, Anger, Epilepsy, Wanda Maximoff (Marvel Cinematic Universe), Secession in the United States, Mammal, Balfour Declaration, Electroencephalography, Critical period, United Kingdom labour law, John Mearsheimer, Eating disorder, Medicine in the medieval Islamic world, Herman Melville, Consumer behaviour, Friedrich Hayek, Cannabis cultivation, Hydroxyprogesterone caproate, Traditional Chinese medicine, Development communication, Arguments for and against drug prohibition, Timeline of women's legal rights (other than voting) in the 20th century, Immigration, Invention of radio, Attention deficit hyperactivity disorder, Political positions of Ron Paul, Eternal security, Kevin Rudd, Hugh Roe O'Donnell, History of economic thought, Treaty of Turin (1860), Economic history of France, Royal Commission on Animal Magnetism, To Have and Have Not, To Have and Have Not (film), To Have or to Be?, To Be and to Have, Cat, Have Drill, I Have a Dream, Sexual intercourse, Albert Einstein, Have I Been Pwned?, Have Gun – Will Travel, EGOT, List of films voted the best, Pittsburgh Steelers, To Have and to Hold, You Should Have Left, Haval, List of suicides, Bbno$, When Harry Met Sally..., The Eyes Have It, Philip Rosenthal, To Have or Not to Have, Clinton–Lewinsky scandal, I Have No Mouth, and I Must Scream, Have, Don't Have, Drake (musician), Single (music), Anna Marie Tendler, List of states with nuclear weapons, List of asanas, Prophecy of the Popes, List of the verified oldest people, List of Saturday Night Live cast members, ICC Champions Trophy, Brooklyn Bridge, 1561 celestial phenomenon over Nuremberg, Kardashian family, Deep Throat (film), She's Gotta Have It, List of the longest-running Broadway shows, List of players who have scored 10,000 or more runs in One Day International cricket, List of countries by Human Development Index, Sachin Tendulkar, Asian Games, Have Dash, Trump derangement syndrome, Animal"
Boggy expanse,fen,Flora of the Vosges massif,False,True,"Bog, Cairn Toul, Wild Boar Fell, Rannoch Moor, List of bogs, Frederick Knight (politician), Beinn Fhada, Mounth, Operation Barbarossa, North York Moors, Alabama, Porth Hellick, Bigfoot, Derry, North Brabant, Dartmoor, Klaipėda, Glossary of geography terms (N–Z), Wrangell–St. Elias National Park and Preserve, List of place names of Native American origin in New England, Geography of Tibet, Lake District, Ben Nevis and Glen Coe National Scenic Area, List of place names of Spanish origin in the United States, Boldmere, Hudson Plains Ecoregion, Carrigrohane Straight, Thomas Mower McDougall, Yell, Shetland, Battle of Buna–Gona: Allied forces and order of battle, List of etymologies of administrative divisions, Flora of the Vosges massif, River Poulter, North West Coastal Highway, Grand Bay National Wildlife Refuge"
Mano a mano,toetotoe,No Title Match,False,False,"Mano a Mano, Mano a Mano (song), Suntukan, Mano a Mano (Grupo Bryndis album), Mano Negra (band), Mano Po 2: My Home, Mano Po, Manny Pacquiao vs. Óscar Larios, Manos, Per questa bella mano, Mano a Mano (Silvio Rodríguez and Luis Eduardo Aute album), Mano Negra (wrestler), Mano Khalil, Train to Pakistan, Roberto Durán vs. Vinny Pazienza, Michinoku Mano-Manyo Botanical Garden, Mano (singer), The hand of God, Mano River, Mano Thangaraj, Vohu Manah, Mano Po 7: Chinoy, International Contact Group on the Mano River Basin, José Manuel Martínez (serial killer), Bahay Kubo: A Pinoy Mano Po!, Mano (mythology), Mano Po 5: Gua Ai Di, Michael Curtiz, Black Hand (extortion), Mano Mano 2, Mano Po 6: A Mother's Love, Mano (name), Moshe Mano, Juan Carlos Barragán, Louise Courvoisier, Là ci darem la mano, Pastor López, Arnis, Mano language, Mano Maritime, Eduardo Makaroff, Mano Po Legacy: The Family Fortune, Mano Ya Na Mano (2006 TV series), Mano Po III: My Love, Mano Ya Na Mano, Mano Ganesan, Mano Po (film series), Black Hand, Own Hand"
Negligent,remiss,Pope,False,True,"Manslaughter, Anneliese Michel, Negligence, Criminal negligence, Misrepresentation, Contributory negligence, Negligent homicide, James Arthur Ray, Negligence in employment, List of U.S. states and territories by violent crime rate, Tortious interference, Vehicular homicide, Gross negligence, Unintentional discharge, Gail Collins Pappalardi, Sexual consent in law, Manslaughter (United States law), Homicide, The Exorcism of Emily Rose, Killing of Jordan Neely, Culpable homicide, Casualty insurance, Negligence per se, Tort, Dr. Luke, Negligent infliction of emotional distress, Killing of Ousmane Zongo, Caparo Industries plc v Dickman, Hedley Byrne & Co Ltd v Heller & Partners Ltd, Thing v. La Chusa, Claudine Longet, Ridge Alkonis, Bolam v Friern Hospital Management Committee, Marfin bank arson, Negligent entrustment, Legal liability, Res ipsa loquitur, Ribbon Creek incident, Comrs of Customs and Excise v Barclays Bank plc, Candler v Crane, Christmas & Co, Vicarious liability, Hunter Valley bus crash, Frank Wuterich, Assumption of risk, Killing of Hunter Brittain, Justifiable homicide, Proximate cause, Reckless homicide, Bolton v Stone, Pope, Diana, Princess of Wales, United States tort law, Colectiv nightclub fire, Battery (tort), Somalia affair, Howard Stern, Double action, Killing of Elijah McClain, Rust shooting incident, Anne, Queen of Great Britain, Alec Baldwin, 1993 World Trade Center bombing, Voice of America, Volenti non fit injuria, Uniform Crime Reports"
Silicon Valley's ___ Research Center,ames,Ames Research Center,True,True,"Silicon Valley, Pirates of Silicon Valley, Carnegie Mellon Silicon Valley, Silicon Slopes, Silicon Valley Power, Jack Baskin School of Engineering, List of technology centers, Silicon Prairie, Silicon Saxony, David S. Ebert, Effective accelerationism, IT cluster Rhine-Main-Neckar, Silicon Forest, University of California, Santa Cruz Silicon Valley Initiatives, Nicole Shanahan, Silicon Wadi, Andrew S. Rappaport, Hourglass economy in Silicon Valley, Pangyo Techno Valley, Laura Arrillaga-Andreessen, NASA Research Park, Ames Research Center, Silicon Graphics, Richard Hanania, Yokosuka Research Park, Frederick Terman, San Jose Convention Center, Sunnyvale, California, James H. Clark, Polycrystalline silicon, Silicon dioxide, Supermicro, Silicon Border, IBM Research, Stanford University endowment, Business cluster, Silicon Valley Education Foundation, Lisa Su, Edinburgh Stanford Link, Czochralski method, Center for Applied Rationality, Marc Andreessen, Stanford University centers and institutes, Ketone-IQ, Micro Center, List of research parks, CADRE Laboratory for New Media, Paris Marx, Kai-Fu Lee"
Candy bit that comes in a plastic roll,smartie,List of McDonald's products,False,True,"Push Pop, Ringo Starr, The Archies (film), Grease (film), Strawberry Fields Forever, Timeline of United States inventions (1890–1945), List of The Beverly Hillbillies episodes, List of Easter eggs in Microsoft products, Harry Nilsson, Ramones, Lola (song), List of Young Sheldon episodes, List of films with post-credits scenes, Dave Stewart (Eurythmics), Trick-or-treating, Chicharrón, Street food in South Korea, List of South African slang words, Bauhaus (band), List of McDonald's products, List of gairaigo and wasei-eigo terms, List of 2024 albums, Glossary of British terms not widely used in the United States, List of one-hit wonders in the United States, Michael Myers (Halloween), List of performances on Top of the Pops, Pretendian, List of Petticoat Junction episodes, Kiwiana, List of number-one singles in Australia during the 1970s, List of Madagascar (franchise) characters, List of sketch comedy television series, Ringo Starr & His All-Starr Band, List of The Loud House episodes, Australian English, List of It's Always Sunny in Philadelphia characters, 1968 in country music, Alfajor, Australian English vocabulary, List of Super Bowl commercials, The Polar Express (film), List of animated short films, List of Pawn Stars episodes, Hungarian cuisine, David Letterman, List of suicides, Bethlehem, Pokémon, List of Doraemon (1979 TV series) episodes, Solid-propellant rocket"
Clerical vestment,alb,Alb,True,True,"Clerical collar, Anti-clericalism, Clerical clothing, Loss of clerical state, Defrocking, Cappello romano, Stole (vestment), Cassock, Vestments controversy, Dalmatic, Fascia (sash), Alb, Maniple (vestment), Zucchetto, Pellegrina, Clergy, Elder (Methodist), Choir dress, Chasuble, Catholic Church sexual abuse cases, Religious clothing, Mozzetta, Surplice, Episcopal gloves, Anglican ministry, Deacon, Biretta, Episcopal sandals, Gaiters, Pulpit gown, Bands (neckwear), Pectoral cross, Archpriest, Cope, Greca (clothing), Orphrey, Altar server, Byzantine dress, Apron, Watts & Co., Apostolnik, Rochet, Vesting prayers, Mantelletta, Scarf, Temple garment, Puritans, Cape, Congregationalism"
"F, in music",loud,2001 in music,False,True,"List of styles of music: A–F, 2025 in music, F major, Stone Music Entertainment, F-Stop Music, P.M. Dawn, Axel F, List of Warner Music Group labels, 1991 in music, Baroque music, 13th century in music, List of country music performers, Women in music, F(x) (musical group), 1982 in hip-hop, 2010s in music, F-sharp major, Hexatonic scale, Inversion (music), 1969 in music, 2003 in music, Crazy Frog, 1990s in music, Beverly Hills Cop: Axel F (soundtrack), Billy Gibbons, Groove (music), 1992 in music, Glossary of music terminology, Clef, 1968 in music, 1985 in music, 1976 in music, 1999 in music, 1310s in music, List of Sony Music artists, 1993 in music, 2001 in music, 1995 in music, Beverly Hills Cop: Axel F, 1320s in music, 1960s in music, F (disambiguation), Chaconne in F minor, 2005 in music, Violin Sonata No. 5 (Beethoven), Pop music, 1980s in music, List of best-selling music artists"
Southern region of Mesopotamia,sumer,Sumer,True,True,"Shinar, Lower Mesopotamia, History of Mesopotamia, Upper Mesopotamia, Geography of Mesopotamia, Mesopotamia (Roman province), Mesopotamia, Argentina, Babylonia, Early Dynastic Period (Mesopotamia), Art of Mesopotamia, Sumer, Uruk period, Agriculture in Mesopotamia, Prehistory of Mesopotamia, Mesopotamian campaign, Indo-Mesopotamia relations, Levant, Simbar-shipak, Architecture of Mesopotamia, History of Sumer, Chaldea, Babylonian, Near Eastern archaeology, Ur of the Chaldees, Babylon, Sumer (disambiguation), Muslim conquest of Persia, Middle Babylonian period, Palestine (region), Southeastern Anatolia region, Assyrian homeland, Egypt–Mesopotamia relations, Ancient Semitic-speaking peoples, List of Mesopotamian dynasties, Akkadian Empire, Ubaid period, Third Dynasty of Ur, Regions of Argentina, Magan (civilization), Amida (Mesopotamia), Kneeling Bull with Vessel, History of Iraq, Banu Bakr, List of kings of Akkad, History of the ancient Levant, Taurus Mountains, Fertile Crescent, Syria (region), Kurdistan"
Fabric options,patterns,Longarm quilting,False,True,"Jersey (fabric), Screen door, United States Army Air Forces, Awning, United States Army uniforms in World War II, Home Reserve, Austin A40 Farina, Surface Laptop 5, Heather (fabric), Mercedes-Benz SL-Class (R129), Microsoft Power BI, Henley shirt, Bazin (fabric), Pattern (sewing), Oxford (cloth), Cotton, Dyeing, Terra Firma (Star Trek: Discovery), Fabric structure, Hyperledger, 2024 United States presidential election, Twitter, Inc., Baghouse, Crinoline, Sex swing, IBM BladeCenter, Microlino, Sportswear, Dunnett's test, Knitting, Suit, Sun protective clothing, MySQL, Skort, History of New Italy, New South Wales, DMC DeLorean, DKW F8, Gaff (clothing), Dimensional stability (fabric), 1989 Tiananmen Square protests and massacre, Grosgrain, Arista Networks, Longarm quilting, Jeffrey Dahmer, Bowling shirt"
Sense of self,ego,Ego death,True,True,"Self-concept, Proprioception, Ego death, Self-awareness, Self-consciousness, True self and false self, Borderline personality disorder, Self-actualization, Self-worth theory of motivation, Self-efficacy, Sense of agency, Looking-glass self, Self-affirmation, Maslow's hierarchy of needs, Sense of Self (album), Identity (social science), Self-expansion model, Self-conscious emotions, Complex post-traumatic stress disorder, Narcissistic personality disorder, Self-regulated learning, Psychology of self, Humility, Vestibular system, Self-esteem, Loevinger's stages of ego development, Black Skin, White Masks, Splitting (psychology), Gordon Allport, Will Self, Healthy narcissism, Intrapersonal communication, Self-estrangement, Default mode network, Paprika (1991 film), Traumatic bonding, Recovery model, Egotism, Victim mentality, Self-determination theory, Self-image, Personal identity, Donald Winnicott, Erikson's stages of psychosocial development, Misanthropy, Self-disorder, Nacirema, Self in Jungian psychology, Samskara (Indian philosophy)"
"Fluent speaker of Elvish, say",nerd,No Title Match,False,False,"Sindarin, Fictional language, Constructed language, Klingon language, Jade Empire, Klingon, Linguistics in science fiction"
&epsilon;,epsilon,Epsilon (disambiguation),True,True,"Epsilon (disambiguation), Epsilon Eridani, Machine epsilon, Epsilon number, Epsilon Composite, Epsilon transition, General Motors Epsilon platform, Epsilon Hydrae, Alpha Epsilon Pi, Sigma Alpha Epsilon, Reversed epsilon, Epsilon axe, Voigt notation, Epsilon photography, Epsilon (text editor), Epsilon Team, Sigma Phi Epsilon, Limit of a function, Tau Kappa Epsilon, Epsilon calculus, Epsilon Cygni, Latin epsilon, Epsilon Cancri, Epsilon (rocket), Continuous function, Epsilon Minus, Bread Financial, Epsilon Boötis, Epsilon Eta, Epsilon (wasp), Epsilon Carinae, Lambda Phi Epsilon, Autoregressive conditional heteroskedasticity, List of Delta Epsilon Sigma chapters, Hurricane Epsilon (2020), Epsilon Draconis, Epsilon Pegasi, Theta Nu Epsilon, Epsilon Scorpii, Epsilon Virginis, Phi Sigma Epsilon, List of Sigma Alpha Epsilon members, Delta Kappa Epsilon, Open-mid central rounded vowel, SARS-CoV-2 Epsilon variant, Chi Epsilon, Socata TB 30 Epsilon, Epsilon Aurigae, Epsilon Leonis"
Bugs,pesters,No Title Match,False,False,"Bugs Bunny, Bugs Moran, Bed bug, Bug, Bugs (nickname), Armadillidiidae, Stink bug, A Bug's Life, Looney Tunes, HUI Gold Index, Hemiptera, Software bug, The Bugs Bunny Show, Reduviidae, Miridae, Bugs Bunny Builders, Brown marmorated stink bug, Beat Bugs, Love Bug, Bat bug, Slugs & Bugs, Bug tracking system, Battle Bugs, Daffy Duck, Mel Blanc, Bugs (TV series), Month of bugs, List of software bugs, Bugs Bunny: Superstar, Ground bug, Waterbug, Yosemite Sam, Doodlebug, Bowery Bugs, Elmer Fudd, Western conifer seed bug, Baseball Bugs, Bug (engineering), Woodlouse, Starship Troopers, Boisea trivittata, Buckaroo Bugs, June bug, Triatominae, Bed bug (disambiguation), Knighty Knight Bugs, Tasmanian Devil (Looney Tunes), Scutigera coleoptrata"
Relative of a bug,wiretap,Rock Machine MC criminal allegations and incidents,False,True,"Boisea trivittata, Bed bug, HUI Gold Index, Year 2000 problem, Starfield (video game), Hemiptera, Bugs Bunny, Reduviidae, Scutigera coleoptrata, Western conifer seed bug, Kettering Bug, List of Pleasant Goat and Big Big Wolf episodes, List of software bugs, List of Saved by the Bell: The New Class episodes, Starship Troopers (film), List of A Country Practice episodes, Antillean Creole, Father Matthew (TV series), Trombicula, Kart Fighter, List of This Old House episodes (seasons 11–20), Alydidae, List of Oddbods episodes, List of Little People, Big World episodes, List of Petticoat Junction episodes, Moth, Coreidae, My Ghost Story, List of Falcon Crest episodes, Software testing, Belostomatidae, Coccinellidae, The Alfred Hitchcock Hour season 9, List of Bewitched episodes, Rock Machine MC criminal allegations and incidents, List of 227 episodes, Northwest Hounded Police, Demographic history of Transnistria, Letter frequency, Blender (software), List of London's Burning episodes, List of Natsume's Book of Friends episodes, List of killings by law enforcement officers in post-reunification Germany, Melacoryphus lateralis, List of Jackanory episodes, List of Dennis the Menace (1959 TV series) episodes, Jadera haematoloma, David Lynch, List of Radiolab episodes, Time formatting and storage bugs"
Churchill ___ Rooms (London tourist attraction),war,"City Hall, London (Southwark)",True,True,"Military citadels under London, Blenheim Palace, List of tourist attractions in the City of Westminster, List of museums in London, London Pass, London Eye, Tower Bridge, RMS Queen Mary, Chartwell, Buckingham Palace, Tower of London, Madame Tussauds, Subterranean London, St Martin's Church, Bladon, Guildhall, London, London Buses route 11, Piccadilly Circus, Science Museum, London, St Paul's Cathedral, Millennium Bridge, London, Titanic Belfast, London Stadium, Dennis Severs' House, City Hall, London (Southwark), Romandisea Titanic, Leadenhall Market, The O2 Arena, London Central Mosque, Thames Barrier, Westminster College (Missouri), Imperial War Museum, Vorontsov Palace (Alupka), Hampton Court Palace, Monument to the Great Fire of London, Westfield London, Legoland California, Kensington Palace, Brighton Palace Pier, Heathrow Airport, Mansion House, London, Timeline of London (19th century), Royal Pavilion, Hamleys, Matsushiro Underground Imperial Headquarters, London Zoo, Palace of Westminster, Bankside Gallery, Kenwood House, Sea Life Brighton"
Long ball,homer,Home run,False,True,"Long ball, CSI: Crime Scene Investigation season 10, Dragon Ball GT, List of Dragon Ball episodes, Suzan Ball, List of Dragon Ball anime, Dragon Ball, Lucille Ball, LaVar Ball, Louis van Gaal, Sam Allardyce, Association football tactics and skills, LiAngelo Ball, Lonzo Ball, Dragon Ball Z, Glossary of baseball terms, Dragon Ball Daima, Biggest ball of twine, List of Dragon Ball Z episodes, List of Dragon Ball characters, Wiffle ball, Ball lightning, Ernie Ball Inc., 1977 FA Cup final, Nine-ball, Dragon Ball (TV series), Volleyball, Ball python, Home run, Charles Reep, Banana Ball, Ball Corporation, Forward (association football), Mark Chamberlain, Eight-ball, Cock and ball torture, Sam Snead, Basketball, Passing (association football), Charles Hughes (football manager), Atherstone Ball Game, 1932 FA Cup final, 2005 FA Community Shield, Cesc Fàbregas, Long drive, 2011 Football League Cup final, Paddle ball (sport), Baseball, Tape ball"
City with a Little Havana,miami,Miami,True,True,"Little Havana, Havana (disambiguation), Havana syndrome, Havana Rose Liu, Havana Conference, Havana Suburban Railway, Havana Brown, Colombian Americans, Miami, Climate of Miami, Siege of Havana, History of Havana, Havana MetroBus, Meyer Lansky, Royal Shipyard of Havana, Havana Plan Piloto, Castillo de los Tres Reyes Del Morro, Plaza del Vapor, Havana, List of cities in North America, William H. Turner (politician), Willy Falcon, Havana on the Hudson, Miami Freedom Park, Havana Brown (musician), Gusano (slur), Jersey City Jerseys, Cuba, Mexico City, Bichon, India Square, Alexis Valdés, Little Saigon, Timeline of Havana, Little Bay, Montserrat, Key West, Buena Vista Social Club, The Lost City (2005 film), Freedom Flights, Republican period (Cuba), Palacio de los Capitanes Generales, Ottawa, Calle Ocho Festival, Afraid (film), Raúl Sánchez (baseball), Dominik García-Lorido, José Martí, Regla, List of oldest continuously inhabited cities, Union City, New Jersey"
Nickname for José,pepe,José Mourinho,False,True,"Scarface, Marie-José of Belgium, List of baseball nicknames, Tó, Spanish naming customs, City of God (2002 film), Puerto Rico, José Mourinho, José Aldo, Cote de Pablo, Michael Jordan, CAPA, Real Madrid CF, SAP Center, List of nicknames in basketball, Luis Antonio Tagle, San Jose Sharks, Chema, Manchester United F.C., Samu Castillejo, Muhammad Ali, Boston Red Sox, South Schleswig Voters' Association, José Andrés Martínez, Roy Orbison, List of poker playing card nicknames, Buenos Aires, Javier Milei, New York Yankees, José Gonzalo Rodríguez Gacha, Independent politician, Valencia CF, Juan José (given name), Gilberto Kassab, Toñito (name), David Canabarro, University of California, Los Angeles, California, San Francisco, UEFA Champions League, New York Mets, Enrique Iglesias, Angie Stone, Misha Collins, Augusto Pinochet, Paraguay, AC Milan, José Rizal, Jason Williams (basketball, born 1975), Alternative for Germany"
