,Date,Word,Clue,_f_number words,_f_length of clue,_f_avg word length,_f_percentage words that are upper-case,_f_ends in question,_f_no alphabet characters,_f_is quote,_f_contains underscore,_f_contains asterisk,_f_number of non-consecutive periods in clue,_f_is ellipsis in clue,_f_number commas in clue,_f_number non a-z or 1-9 characters in clue,_f_contains e.g.,_f_contains etc.,_f_contains in short,_f_contains briefly,_f_contains dir.,_f_contains exclamation,_f_contains kind of,_f_contains bible clue,"_f_contains ,maybe or ,perhaps",_f_contains word before,_f_MentionsProfession
216921,1/24/2014,USB,Kind of port,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
217564,1/15/2014,STAG,Kind of party,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
217645,1/14/2014,ZEN,Kind of state that's peaceful,5,29,5.0,0.2,False,5,False,False,False,0,True,0,0.1724137931034483,False,False,False,False,False,False,True,False,False,False,False
218556,1/2/2014,TONER,Kind of cartridge,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
219260,12/24/2013,TEA,Kind of party,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
219567,12/20/2013,CARTOON,Kind of figure,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
219657,12/19/2013,SINE,Kind of wave,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
219847,12/16/2013,ONEMAN,Kind of band,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
220163,12/12/2013,GAMMA,Kind of ray,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
220179,12/12/2013,BOLO,Kind of tie,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
220773,12/5/2013,ULNAR,Kind of nerve,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
221264,11/28/2013,SOYA,Kind of bean,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
221320,11/28/2013,AMEX,Kind of card,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
221561,11/24/2013,MANX,Kind of cat,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
222273,11/16/2013,IDLE,Kind of threat,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
222357,11/14/2013,AHA,Kind of moment,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
222624,11/10/2013,SNOB,Kind of appeal,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
222784,11/9/2013,FREON,Kind of compressor,3,18,5.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.1111111111111111,False,False,False,False,False,False,True,False,False,False,False
222850,11/8/2013,HATHA,Kind of yoga,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
222961,11/6/2013,DNA,Kind of fingerprinting,3,22,6.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,True,False,False,False,False
223789,10/27/2013,SONIC,Kind of boom,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
223838,10/26/2013,NATAL,Kind of horoscope,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
224275,10/20/2013,YESNO,Kind of question,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
224294,10/20/2013,ESCORT,Kind of service,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
224379,10/19/2013,NAUT,Kind of mile: Abbr.,4,19,4.0,0.5,False,5,False,False,False,1,True,0,0.2631578947368421,False,False,False,False,False,False,True,False,False,False,False
224553,10/16/2013,MOOSHU,Kind of pork on a Chinese menu,7,30,3.4285714285714284,0.2857142857142857,False,6,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
224775,10/13/2013,PANTY,Kind of raid,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
225085,10/9/2013,CALLA,Kind of lily,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
225114,10/9/2013,DISC,Kind of brake,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
225551,10/3/2013,ORAL,Kind of tradition,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
225973,9/28/2013,CERT,Kind of check: Abbr.,4,20,4.25,0.5,False,5,False,False,False,1,True,0,0.25,False,False,False,False,False,False,True,False,False,False,False
226091,9/26/2013,TENOR,Kind of sax,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
227137,9/12/2013,ETON,Kind of jacket,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
227444,9/8/2013,ONSIDE,Kind of kick,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
227593,9/7/2013,SUET,Kind of pudding,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
227613,9/6/2013,RETIREMENT,Kind of community,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
228174,8/30/2013,TAU,Kind of cross,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
228386,8/27/2013,VOODOO,Kind of doll,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
228734,8/22/2013,PROP,Kind of jet,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
229042,8/18/2013,METH,Kind of lab,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
229238,8/16/2013,ROULETTE,Kind of wheel,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
229246,8/16/2013,BIO,Kind of lab,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
229473,8/12/2013,ONAIR,"Kind of personality, in broadcasting",5,36,6.4,0.2,False,5,False,False,False,0,True,1,0.1388888888888889,False,False,False,False,False,False,True,False,False,False,False
229872,8/7/2013,ALTO,Kind of clef,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
230114,8/4/2013,INNER,Kind of beauty,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
230261,8/2/2013,LEGO,Kind of block,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
230466,7/30/2013,BOWIE,Kind of knife,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
230927,7/24/2013,SALINE,Kind of solution,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
231013,7/23/2013,UMBRELLA,*Kind of insurance policy,4,25,5.5,0.0,False,4,False,False,True,0,True,0,0.16,False,False,False,False,False,False,True,False,False,False,False
232402,7/5/2013,SHOOFLY,Kind of pie,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
232972,6/27/2013,BRAN,Kind of muffin,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
233457,6/22/2013,PEER,Kind of review,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
233501,6/21/2013,SMA,Kind of request in a Robert Burns poem,8,38,3.875,0.375,False,7,False,False,False,0,True,0,0.18421052631578946,False,False,False,False,False,False,True,False,False,False,False
233579,6/20/2013,NEONATAL,Kind of ward,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
234577,6/7/2013,KOBE,Kind of beef,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
234661,6/6/2013,GOOGOO,Kind of eyes,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
234967,6/2/2013,LYRIC,Kind of poetry,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
235303,5/28/2013,ZOOT,Kind of suit worn by a 21-Down,7,30,3.4285714285714284,0.14285714285714285,False,9,False,False,False,0,True,0,0.23333333333333334,False,False,False,False,False,False,True,False,False,False,False
235448,5/26/2013,OSMOTIC,Kind of pressure involved in water filtration,7,45,5.571428571428571,0.14285714285714285,False,6,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
236061,5/19/2013,FAVA,Kind of bean,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
236148,5/18/2013,LOIN,Kind of chop,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
236516,5/12/2013,ONECAR,Kind of garage,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
236782,5/9/2013,IMAX,Kind of screen,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
237064,5/5/2013,ESTATE,Kind of tax,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
237417,5/1/2013,OLEIC,Kind of acid used in making soap,7,32,3.7142857142857144,0.14285714285714285,False,6,False,False,False,0,True,0,0.1875,False,False,False,False,False,False,True,False,False,False,False
237772,4/26/2013,DORIC,Kind of column,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
237778,4/26/2013,CEL,Kind of animation,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
238080,4/22/2013,TIKI,Kind of torch at a luau,6,23,3.0,0.16666666666666666,False,5,False,False,False,0,True,0,0.21739130434782608,False,False,False,False,False,False,True,False,False,False,False
238382,4/18/2013,PENAL,Kind of colony,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
238559,4/15/2013,ATOMIC,Kind of bomb since the 1940s,6,28,3.8333333333333335,0.16666666666666666,False,9,False,False,False,0,True,0,0.17857142857142858,False,False,False,False,False,False,True,False,False,False,False
238734,4/14/2013,BON,Kind of voyage?,3,15,4.333333333333333,0.3333333333333333,True,3,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
239177,4/7/2013,RARE,Kind of form,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
239742,3/31/2013,PINTO,Kind of bean,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
240840,3/17/2013,LOGIN,Modern kind of name,4,19,4.0,0.0,False,3,False,False,False,0,True,0,0.15789473684210525,False,False,False,False,False,False,True,False,False,False,False
241397,3/10/2013,NET,Kind of income,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
241418,3/10/2013,USB,Kind of connection from a mobile device to a PC,10,47,3.8,0.2,False,9,False,False,False,0,True,0,0.19148936170212766,False,False,False,False,False,False,True,False,False,False,False
241439,3/9/2013,NTH,Kind of root in math,5,20,3.2,0.2,False,4,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
242267,2/26/2013,NEAP,Kind of tide,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
242453,2/24/2013,GYM,Kind of rat,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
242825,2/18/2013,TBONE,Kind of steak,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
242986,2/17/2013,PAPAL,Kind of court or cross,5,22,3.6,0.2,False,4,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
243337,2/12/2013,NOVA,Kind of lox,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
243728,2/7/2013,VHS,Kind of tape,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
243968,2/3/2013,DUCT,Kind of tape,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
244169,2/1/2013,FEMORAL,Kind of artery or vein,5,22,3.6,0.2,False,4,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
244574,1/27/2013,EURAIL,Kind of pass for an overseas passenger,7,38,4.571428571428571,0.14285714285714285,False,6,False,False,False,0,True,0,0.15789473684210525,False,False,False,False,False,False,True,False,False,False,False
245018,1/20/2013,PLASMA,Kind of TV,3,10,2.6666666666666665,0.6666666666666666,False,2,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
245037,1/20/2013,TENSILE,Kind of strength,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
245134,1/19/2013,SELENIC,Kind of acid that dissolves gold,6,32,4.5,0.16666666666666666,False,5,False,False,False,0,True,0,0.15625,False,False,False,False,False,False,True,False,False,False,False
245809,1/10/2013,ONOFF,Kind of switch,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
246184,1/5/2013,ORAL,Kind of surgery,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
246207,1/5/2013,INTERIOR,Kind of paint,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
246274,1/4/2013,MUNG,Kind of bean,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
247105,12/23/2012,THRU,Kind of street,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
247193,12/23/2012,ARTESIAN,Kind of well,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
247715,12/16/2012,WALDORF,Kind of salad,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
247921,12/13/2012,SWAT,Kind of team,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
247987,12/12/2012,USER,Kind of fee,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
248046,12/11/2012,NEWAGE,Kind of music not known for its beat,8,36,3.625,0.125,False,7,False,False,False,0,True,0,0.19444444444444445,False,False,False,False,False,False,True,False,False,False,False
248164,12/10/2012,MOHS,Kind of scale of mineral hardness,6,33,4.666666666666667,0.16666666666666666,False,5,False,False,False,0,True,0,0.15151515151515152,False,False,False,False,False,False,True,False,False,False,False
248635,12/4/2012,LINSEED,Kind of oil,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
248816,12/2/2012,ONAIR,Kind of personality,3,19,5.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.10526315789473684,False,False,False,False,False,False,True,False,False,False,False
248908,11/30/2012,RENAL,Kind of cortex,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
249068,11/28/2012,REST,Kind of day for a competitive cyclist,7,37,4.428571428571429,0.14285714285714285,False,6,False,False,False,0,True,0,0.16216216216216217,False,False,False,False,False,False,True,False,False,False,True
249585,11/21/2012,HEN,Kind of party,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
249808,11/18/2012,HOOKAH,Kind of bar,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
250268,11/12/2012,ORAL,Kind of testimony,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
250407,11/11/2012,HONORS,Kind of class,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
250978,11/4/2012,LEGO,Kind of brick,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
251010,11/3/2012,CELL,Kind of tower,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
251304,10/30/2012,FOCAL,Kind of point,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
251315,10/29/2012,RADIAL,Kind of tire,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
251676,10/25/2012,TSA,"Kind of screening, for short",5,28,4.8,0.2,False,5,False,False,False,0,True,1,0.17857142857142858,False,False,False,False,False,False,True,False,False,False,False
251724,10/24/2012,OPERA,Kind of glasses,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
251771,10/23/2012,FOCAL,Kind of point,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
251883,10/22/2012,SPINAL,Kind of cord or column,5,22,3.6,0.2,False,4,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
251955,10/21/2012,ANEROID,Kind of barometer,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
251958,10/21/2012,AZO,Kind of dye,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
252195,10/18/2012,POETIC,Kind of license,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
252842,10/9/2012,CAT,Kind of scan,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
253016,10/7/2012,AEROBIC,Kind of exercise,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
253301,10/3/2012,LEPER,"Kind of colony in ""Papillon""",5,28,4.8,0.4,False,6,False,False,False,0,True,0,0.21428571428571427,False,False,False,False,False,False,True,False,False,False,False
253322,10/3/2012,THERMAL,Kind of blanket,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
253401,10/2/2012,STAPH,Kind of infection,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
253636,9/29/2012,KEPT,Kind of woman,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
253771,9/27/2012,AZO,Kind of dye,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
254027,9/23/2012,BLUSH,Kind of wine,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
254601,9/16/2012,ELEM,Kind of sch.,3,12,3.3333333333333335,0.3333333333333333,False,3,False,False,False,1,True,0,0.25,False,False,False,False,False,False,True,False,False,False,False
254654,9/16/2012,BIB,Kind of overalls,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
254851,9/13/2012,EGO,Kind of stroke,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
255792,9/1/2012,HTML,Kind of tag for a Web designer,7,30,3.4285714285714284,0.2857142857142857,False,6,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,True
255885,8/30/2012,FREERANGE,Popular kind of 31- and 37-Across,6,33,4.666666666666667,0.0,False,11,False,False,False,0,True,0,0.21212121212121213,False,False,False,False,False,False,True,False,False,False,False
255998,8/29/2012,PONZI,Kind of scheme,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
256143,8/27/2012,MORAY,Kind of eel,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
256195,8/26/2012,MITRAL,Kind of heart valve,4,19,4.0,0.25,False,3,False,False,False,0,True,0,0.15789473684210525,False,False,False,False,False,False,True,False,False,False,False
256317,8/25/2012,SIEGE,Kind of mentality,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
256340,8/25/2012,IPAD,Kind of app,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
256437,8/23/2012,ATM,Kind of card,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
256461,8/23/2012,AZO,Kind of dye,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
256701,8/20/2012,SUMO,Kind of wrestling,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
256997,8/16/2012,NAME,Kind of recognition,3,19,5.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.10526315789473684,False,False,False,False,False,False,True,False,False,False,False
257887,8/5/2012,NASAL,Kind of cavity,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
258010,8/3/2012,REL,Kind of denom.,3,14,4.0,0.3333333333333333,False,3,False,False,False,1,True,0,0.21428571428571427,False,False,False,False,False,False,True,False,False,False,False
258068,8/2/2012,LAMEDUCK,Kind of session,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
258092,8/1/2012,LUG,Kind of nut,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
258177,7/31/2012,SERIF,Sans-___ (kind of typeface),4,27,6.0,0.25,False,9,False,True,False,0,True,0,0.3333333333333333,False,False,False,False,False,False,True,False,False,False,False
258931,7/22/2012,HUMBLE,Kind of pie,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
259115,7/19/2012,PETRI,Kind of dish,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
259464,7/15/2012,BRAZIL,Kind of nut,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
259605,7/13/2012,HEX,Kind of nut,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
259609,7/13/2012,INDIE,Kind of rock,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
259658,7/12/2012,HATCHET,Kind of job,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
259669,7/12/2012,OLEIC,Kind of acid,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
259823,7/10/2012,MED,Kind of school,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
